cluster_label,CD45,PanCK,Vimentin,aSMA,CD31,Podoplanin,CD3e,CD20,CD21,CD68
APC,-0.2396934955229482,0.47696354737797914,-0.1129996496010057,-0.5316302981591793,-0.4081203940455923,-0.23277568550098426,-0.5714950534948591,-0.41111859969593123,-0.36055753794257955,-0.38482826787607377
B cell,1.2081185033491846,-1.140385120355297,0.22227262797606123,-0.29541441256040124,-0.3592477798843012,-0.02218035999862868,0.8928885604982678,3.421286603853769,2.2530443635330726,-0.1757580825302099
CD4 T cell,1.568303185003772,-0.8957850356101148,0.5052869451478721,-0.35263719120321324,-0.40464735671598273,-0.09841413775237524,2.517083972703374,-0.008775932080996085,-0.5274670824465203,-0.2144296853368284
CD8 T cell,1.530247328740014,-0.3916502285149355,0.6402038492751686,-0.285624135087781,-0.35259164337015847,-0.10377176917463146,1.9155076175620755,-0.31138938735626914,-0.4661036399342731,0.005696005891288014
Granulocyte,0.8713927088575656,-0.07501541406170706,0.37532267446715484,-0.3277977120016541,-0.36451418468664054,-0.17498168966461175,-0.3458274939763884,-0.1465682087490756,-0.4547518544486186,0.9495461160443185
Lymph vessel,1.1118278780916087,0.3742171606729894,0.15153633797561397,2.5338282337204743,0.10322868753061185,2.3716425927826275,0.8062989012760258,0.012654874244806085,2.6556198156058337,1.2759348231826466
Macrophage,0.6883684747632327,-0.5867404799188681,1.0166592998593085,-0.29985056663394066,-0.3056573392031778,-0.2554190678269555,-0.28832085891153036,-0.27161713964706014,-0.2880578378337149,3.0538899322237087
Naive immune cell,0.17753389858268145,-1.252402448260613,0.6793128828403275,-0.3494977003513918,1.9028333292141435,-0.5691796512041856,-0.15723744798040704,-0.17663991519914443,-0.43833633885877304,-0.042569942651395465
Stromal / Fibroblast,-0.7302564843621001,-1.1686985524784186,1.2432378203256158,1.611963723219465,-0.4447058969371643,-0.2546541043405574,-0.46985381036822504,-0.5270423025941958,-0.8084102221715139,-0.44959576801644896
Tumor,-1.0749186057652733,0.14432351611787708,-1.2406955155666373,-0.6339191613070346,-0.4809252117715033,-0.8262298499200067,-0.7028603596308812,-0.5532418862745453,-0.5800664436519303,-0.8188193696003637
Tumor (CD15+),-0.9758108234693829,1.431660272136728,-1.1910781953415883,-0.6306853389674344,-0.45317202223110964,-0.8623804978745981,-0.7090550447757489,-0.4682943556280009,-0.3165573431547475,-0.5643431314997419
Tumor (CD20+),-0.8977173514463459,1.1144959406546437,-1.1493956373308787,-0.6420683462166026,-0.3662164918170671,-0.3338632008479581,-0.6738073463916235,1.163284987567206,-0.0389465560071636,-0.5985448452581456
Tumor (CD21+),-0.8676044485245952,1.8978516361267164,-1.1304413892416185,-0.5909197821501451,-0.33040756876922867,-0.5396981506964641,-0.6509871954854523,-0.45850322686849665,0.36408719193874156,-0.6132850702341015
Tumor (Ki67+),-0.9538243808028211,0.7478831920366334,-1.1107581897084142,-0.48405045786017276,-0.438264097619959,0.19643070387692646,-0.6531096236830378,-0.4072609337346138,-0.04210647473368526,-0.7547953821228267
Tumor (Podo+),-0.8938358707294529,0.4950625999359154,-0.8039721148615626,-0.472952906619501,-0.3572031371893792,2.5100707466753627,-0.6255847441001352,-0.4645772931252948,-0.26899497295865243,-0.6494437066224813
Vessel,-0.5221305167651384,-1.171780585859527,1.9055082537845827,1.7512560521785163,3.059611107496509,-0.8045958785329537,-0.28364007324145035,-0.3921972847121622,-0.6823950669354775,-0.01865362559334765
