k,subset,C,C_lo,C_hi,dC,dC_lo,dC_hi,vsNoise,vsN_lo,vsN_hi
3,KLm+KLt+SLF,0.7121707682221394,0.6748157337281931,0.735839084065396,0.029702498580215786,0.010607818968931097,0.04925036990798739,0.02859885542705719,0.0039036301068247517,0.05404888607449125
4,KLm+KLt+SLF+StT,0.711130105607245,0.6771115419211805,0.7350955095421675,0.028661835965321424,0.010534663217486948,0.053061098425409195,0.03359509327964107,0.001024080909729802,0.06022010673837016
3,KLm+KLt+StT,0.7106131589885316,0.6768893831712987,0.7323181381645081,0.02814488934660797,0.0012258246986733058,0.050558160349084655,0.027041246193449376,-0.0015969017854229246,0.05343976916169095
4,KLm+KLt+ImT+StT,0.709760610063195,0.6862646402650153,0.7406379505202461,0.027292340421271398,0.011718717808133142,0.04596556336495681,0.03222559773559104,0.007197905390082438,0.05979301692425515
4,KLm+SLF+ImT+StT,0.7095900517600647,0.6872928702552955,0.7429473017027126,0.027121782118141202,0.007556746399890046,0.05070527549682106,0.03205503943246084,0.00407436084282555,0.0645327290561194
2,KLm+KLt,0.7088132699773674,0.6807294026102796,0.728580176493655,0.02634500033544378,0.008463675256397036,0.04003321816716196,0.02369429192623701,0.0042822048809081446,0.03745533674000783
4,KLm+KLt+SLF+ImT,0.7074119103290961,0.677933814463152,0.7361963706310806,0.024943640687172575,0.007392446828787089,0.05023533431195328,0.029876898001492215,-0.0015628589706809968,0.05886332013503831
2,KLm+StT,0.7071722452489825,0.6854627900415996,0.7191703554963261,0.02470397560705879,0.007533299440357047,0.03700280431464372,0.02205326719785202,0.0016768953539710307,0.03262956706849692
5,KLm+KLt+SLF+ImT+StT,0.7061047191679942,0.6766604566267819,0.7369717457127221,0.023636449526070736,0.005469651957789692,0.04611468842529077,0.009222623760472582,-0.011916157972028973,0.032908356530874906
3,KLm+ImT+StT,0.7059267421818216,0.6705528430989154,0.7276867301731202,0.02345847253989799,0.002053963206165227,0.043963344494897826,0.022354829386739394,-0.001607518770285568,0.04913002112787492
3,KLm+KLt+ImT,0.7059126966911293,0.6752387102650893,0.7240688153394448,0.02344442704920565,-0.0025113230272845928,0.04452665562138259,0.022340783896047055,-0.005502761086766436,0.05011051896388121
3,KLm+SLF+StT,0.7056374352594308,0.6739215491114475,0.7291003851027787,0.023169165617507183,0.0011652921353913354,0.05094067089819199,0.022065522464348584,-0.006439188940294998,0.055639064653741646
